code,name,description,node_type,owner_code,data_class,value_type,unit,is_identifier
company,公司,公司实体，表示一个工商注册企业主体,entity,,group,object,,FALSE
company.id,公司ID,公司在当前数据源中的内部唯一标识字段,field,company,dimension,string,,TRUE
company.base,基本档案,公司工商基本信息集合，包含名称、成立时间、资本、地址等字段,field,company,group,object,,FALSE
company.base.name_cn,公司名称,公司法定注册中文名称，用于唯一识别企业中文全称,field,company.base,dimension,string,,FALSE
company.base.name_abbr,公司简称,公司常用简称或品牌简称，用于日常称呼,field,company.base,dimension,string,,FALSE
company.base.name_en,英文名称,公司在工商或公开信息中的英文名称,field,company.base,dimension,string,,FALSE
company.base.name_hist,曾用名,公司历史名称列表，记录企业名称变更情况,field,company.base,text,list<string>,,FALSE
company.base.uscc,统一社会信用代码,公司统一社会信用代码，国家统一颁发的企业唯一识别号,field,company.base,dimension,string,,TRUE
company.base.reg_no,工商注册号,公司工商注册号，部分企业沿用旧注册号字段,field,company.base,dimension,string,,TRUE
company.base.org_code,组织机构代码,公司组织机构代码，用于标识企事业单位组织身份,field,company.base,dimension,string,,TRUE
company.base.tax_id,纳税人识别号,公司纳税人识别号，用于税务登记和报税,field,company.base,dimension,string,,TRUE
company.base.legal_rep,法定代表人,公司法定代表人姓名，一般为企业法人或负责人,field,company.base,dimension,string,,FALSE
company.base.est_dt,成立日期,公司成立日期或注册日期，对应营业执照上的成立时间,field,company.base,dimension,date,,FALSE
company.base.op_term_start_dt,营业期限开始,公司营业期限起始日期，标识经营开始时间,field,company.base,dimension,date,,FALSE
company.base.op_term_end_dt,营业期限结束,公司营业期限结束日期，长期经营企业可能为空,field,company.base,dimension,date,,FALSE
company.base.approval_dt,核准日期,工商部门最近一次核准或变更登记日期,field,company.base,dimension,date,,FALSE
company.base.revoke_dt,吊销日期,公司营业执照被吊销的日期,field,company.base,dimension,date,,FALSE
company.base.cancel_dt,注销日期,公司办理工商注销登记完成的日期,field,company.base,dimension,date,,FALSE
company.base.reg_status,企业状态,公司当前工商状态，如在营、存续、吊销、注销等,field,company.base,dimension,string,,FALSE
company.base.reg_cap_amt,注册资本,公司注册资本金额数值，按登记资本总额计量,field,company.base,metric,decimal,CNY,FALSE
company.base.reg_cap_ccy,注册币种,注册资本对应的货币币种，如人民币、美元等,field,company.base,dimension,string,,FALSE
company.base.reg_cap_unit,资金单位,注册资本金额所使用的数量单位，如元、万元等,field,company.base,dimension,string,,FALSE
company.base.reg_auth,登记机关,为公司办理工商登记的登记机关名称,field,company.base,dimension,string,,FALSE
company.base.biz_scope,经营范围,公司经工商核准的经营范围文本描述,field,company.base,text,string,,FALSE
company.base.biz_hist_desc,公司沿革,公司发展沿革、历史变更和重要事件的文字说明,field,company.base,text,string,,FALSE
company.base.addr_reg,注册地址,公司工商登记中的注册地址或住所地,field,company.base,text,string,,FALSE
company.base.addr_office,办公地址,公司实际办公地址或经营场所地址,field,company.base,text,string,,FALSE
company.base.addr_mail,通信地址,公司接收信函、邮寄资料的通信地址,field,company.base,text,string,,FALSE
company.base.contact_tel,企业电话,公司对外公开的联系电话或总机电话,field,company.base,dimension,string,,FALSE
company.base.contact_email,企业邮箱,公司对外公开的联系电子邮箱地址,field,company.base,dimension,string,,FALSE
company.base.website_url,企业网址,公司官方网站或主要对外网站地址,field,company.base,dimension,string,,FALSE
company.base.zip_code,邮政编码,公司所在地区邮政编码，用于邮件寄送,field,company.base,dimension,int,,FALSE
company.base.staff_num_desc,从业人数,公司从业人员数量的文字描述，可能为人数或区间,field,company.base,dimension,string,,FALSE
company.base.insur_num_desc,参保人数,公司参加社会保险人数的文字描述，可能为人数或区间,field,company.base,dimension,string,,FALSE
